time,mnvel,errvel,inst,tel,source
2450915.2911,-18.8,5.1,ucles-mccarthy2004,ucles,mccarthy2004
2450915.29395,-6.6,2.24,ucles-laliotis2023,ucles,laliotis2023
2451118.88482,15.08,1.27,ucles-laliotis2023,ucles,laliotis2023
2451118.8874,-4.9,2.7,ucles-mccarthy2004,ucles,mccarthy2004
2451118.887431,1.5,2.7,ucles-butler2006,ucles,butler2006
2451119.89956,8.55,1.03,ucles-laliotis2023,ucles,laliotis2023
2451119.902245,-2.3,2.2,ucles-butler2006,ucles,butler2006
2451120.88429,10.57,1.02,ucles-laliotis2023,ucles,laliotis2023
2451120.887037,0.4,2.3,ucles-butler2006,ucles,butler2006
2451121.89003,12.4,1.1,ucles-laliotis2023,ucles,laliotis2023
2451121.8928,-8.0,2.6,ucles-mccarthy2004,ucles,mccarthy2004
2451121.892836,1.7,2.4,ucles-butler2006,ucles,butler2006
2451236.28545,-18.46,1.33,ucles-laliotis2023,ucles,laliotis2023
2451298.8628000002,-9401.300000000001,3.6,coralie-benedict2022,coralie,benedict2022
2451299.8874,-9394.9,3.8,coralie-benedict2022,coralie,benedict2022
2451410.8977,-47.8,2.4,ucles-mccarthy2004,ucles,mccarthy2004
2451410.897708,-41.8,2.3,ucles-butler2006,ucles,butler2006
2451410.90105,-28.34,1.04,ucles-laliotis2023,ucles,laliotis2023
2451412.97473,-3.54,9.75,ucles-laliotis2023,ucles,laliotis2023
2451412.97909,-26.06,6.34,ucles-laliotis2023,ucles,laliotis2023
2451412.98316,-35.58,3.08,ucles-laliotis2023,ucles,laliotis2023
2451413.8981,-43.0,2.2,ucles-mccarthy2004,ucles,mccarthy2004
2451413.90125,-20.6,1.04,ucles-laliotis2023,ucles,laliotis2023
2451630.304213,46.5,2.7,ucles-butler2006,ucles,butler2006
2451630.30579,57.9,1.11,ucles-laliotis2023,ucles,laliotis2023
2451683.0926,41.4,2.9,ucles-mccarthy2004,ucles,mccarthy2004
2451683.0978,64.85,1.3,ucles-laliotis2023,ucles,laliotis2023
2451684.132049,48.9,3.4,ucles-butler2006,ucles,butler2006
2451684.13734,60.11,1.48,ucles-laliotis2023,ucles,laliotis2023
2451718.118356,35.0,3.0,ucles-butler2006,ucles,butler2006
2451718.1184,26.5,3.1,ucles-mccarthy2004,ucles,mccarthy2004
2451718.12427,48.98,1.3,ucles-laliotis2023,ucles,laliotis2023
2451742.9096,13.4,2.8,ucles-mccarthy2004,ucles,mccarthy2004
2451742.909606,25.5,2.5,ucles-butler2006,ucles,butler2006
