jd  rv  e_rv
915.2911	-18.8	5.1
1118.8874	-4.9	2.7
1119.9022	-9.9	2.4
1120.8870	-8.7	2.4
1121.8928	-8.0	2.6
1236.2864	-35.4	3.6
1410.8977	-47.8	2.4
1413.8981	-43.0	2.2
1630.3042	36.0	2.8
1683.0926	41.4	2.9
1684.1320	38.4	3.5
1718.1184	26.5	3.1
1742.9096	13.4	2.8
1743.9240	24.0	3.1
1745.0440	14.5	2.8
1766.9330	9.9	2.3
1767.9689	8.7	2.5
1827.8973	-5.0	2.4
1828.8866	-2.3	3.1
1829.8890	-2.4	3.4
1855.9058	-10.7	4.4
1984.2618	-25.1	3.1
2010.2829	-30.8	5.3
2061.1132	-29.2	2.9
2091.9807	-28.0	2.6
2126.9766	-13.1	2.9
2151.9693	-2.7	2.7
2152.9493	-2.9	2.3
2153.8626	2.8	2.6
2186.9095	18.1	2.2
2187.8879	19.5	2.4
2360.3245	28.7	2.2
2387.1722	29.2	2.3
2388.2097	25.9	2.4
2421.1696	10.9	2.2
2425.1226	18.3	2.8
2455.0437	10.6	2.8
2509.9587	4.0	3.0
2712.1925	-42.4	3.5
2745.2553	-22.7	2.5
2752.1799	-20.7	2.8
2785.1422	-1.8	2.8
2857.0201	27.3	1.8
2860.9744	25.2	2.6
3044.2886	14.0	2.9
