# target ra dec BJD RV_mlc_nzp e_RV_mlc_nzp RV_drs_nzp e_RV_drs_nzp RV_mlc e_RV_mlc RV_drs e_RV_drs RV_mlc_j e_RV_mlc_j CRX e_CRX dLW e_dLW Halpha e_Halpha NaD1 e_NaD1 NaD2 e_NaD2 f_RV FWHM_DRS CONTRAST_DRS BIS RVGUESS SNR_DRS BJD_DRS BERV BERV_DRS DRIFT e_DRIFT SA NZP_mlc dNZP_mlc NZP_drs dNZP_drs TMMEAN EXPTIME MLCRX E_MLCRX TIMEID DRIFT_LAMP MASK PROGID PROGPI AIRMASS OBHAB THAR_FP DPR_TYPE RHKp dRHKp sourceflag vsinflag metflag
# From HARPS RV bank
GJ3769 198.182385 -2.264685 2453050.837826 -2.970131 0.878924 -11889.694003 1.022519 24.507594 0.306121 -11887.531332 0.28798 24.510488 0.307098 -4.465899 4.05989 -14.34066 0.834101 0.507338 0.000436 0.202689 0.00046 0.263137 0.000578 0 6.081371 47.507142 0.004558 -12.076 179.9 2453050.83782 23.815999 23.816395 0.403 -9999999 0.0 1.899554 0.823892 2.162671 0.981128 0.49 899.996 -4.485674 4.127595 2004-02-15T07:54:04.325 -9999999 K5 072.C-0488(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_K0 1.33810615594193e-05 3.55380500848186e-07 0 0 0
GJ3769 198.182385 -2.264685 2453167.4428595 23.219036 3.464772 -11869.819596 5.127881 48.881313 3.35722 -11869.286573 5.033133 49.042708 3.360576 14.838541 25.743873 45.990965 7.666106 0.50759 0.003769 0.213657 0.005172 0.283563 0.006523 0 6.090715 46.626685 0.012142 -11.9 19.9 2453167.44285 -25.66179 -25.661577 0.318 -9999999 0.00297 0.084106 0.856575 0.530053 0.981193 0.5 59.9965 14.797159 25.731611 2004-06-10T22:33:22.907 -9999999 K5 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_K0 2.06304514120053e-05 1.28079297846239e-06 0 0 0
GJ3769 198.182385 -2.264685 2453167.4439313 25.642083 3.101421 -11863.045024 4.679779 51.304023 2.980787 -11862.514015 4.575761 51.091724 2.982211 20.125337 26.183271 27.516823 5.92502 0.507154 0.003424 0.217023 0.004616 0.279012 0.005772 0 6.096768 46.863755 0.005649 -11.9 22.1 2453167.44393 -25.664394 -25.664185 0.235 -9999999 0.00297 0.08377 0.856574 0.528039 0.981192 0.51 60.0016 20.140458 26.164463 2004-06-10T22:34:54.918 -9999999 K5 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_K0 -9999999.0 -9999999.0 -9999999 -9999999 -9999999
GJ3769 198.182385 -2.264685 2453167.4449892 22.823322 3.321844 -11862.55383 4.942784 48.48493 3.209506 -11862.02481 4.844417 48.469305 3.211621 2.206816 25.835015 23.563349 8.034382 0.506329 0.003611 0.207094 0.004905 0.29004 0.006262 0 6.086219 47.049265 0.003264 -11.9 20.7 2453167.44498 -25.666973 -25.666746 0.415 -9999999 0.00297 0.083437 0.856574 0.52605 0.981191 0.5 60.0022 2.195111 25.823954 2004-06-10T22:36:26.929 -9999999 K5 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_K0 4.19849306298244e-05 0.0047831146676154 0 0 0
GJ3769 198.182385 -2.264685 2453167.4460467 20.116149 3.286307 -11863.91709 4.917596 45.777425 3.172711 -11863.390057 4.818715 45.636498 3.175228 20.994917 26.51608 20.673022 7.33548 0.515189 0.003629 0.210101 0.00485 0.286362 0.006138 0 6.07628 46.918839 0.008219 -11.9 21.0 2453167.44604 -25.66956 -25.669345 0.306 -9999999 0.00297 0.083105 0.856573 0.524063 0.981191 0.5 60.0018 20.982876 26.501725 2004-06-10T22:37:58.299 -9999999 K5 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_K0 1.97331188302116e-05 7.64661110419983e-07 0 0 0
GJ3769 198.182385 -2.264685 2453167.4470952 25.618868 2.896811 -11863.76887 4.409191 51.279814 2.767273 -11863.243808 4.298631 51.199809 2.768843 10.654329 24.622637 17.383614 6.306954 0.507472 0.003249 0.21641 0.004324 0.285659 0.005444 0 6.098109 46.976904 0.000344 -11.9 23.4 2453167.44708 -25.672134 -25.671921 0.261 -9999999 0.00297 0.082776 0.856572 0.522092 0.98119 0.49 60.0033 10.649422 24.592316 2004-06-10T22:39:29.500 -9999999 K5 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_K0 1.32025987711154e-05 1.1362021814155e-06 0 0 0
GJ3769 198.182385 -2.264685 2453167.4481543 31.163243 3.054042 -11862.18167 4.61856 56.823857 2.93146 -11861.658598 4.513132 56.505043 2.933308 14.477636 26.413493 22.857484 6.988782 0.503623 0.003388 0.214497 0.004549 0.289886 0.005774 0 6.088766 46.954209 0.014641 -11.9 22.3 2453167.44815 -25.674743 -25.674538 0.156 -9999999 0.00297 0.082443 0.856572 0.520102 0.981189 0.49 60.0023 14.45358 26.384626 2004-06-10T22:41:01.012 -9999999 K5 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_K0 2.47681483613617e-05 6.46189690157378e-07 0 0 0
GJ3769 198.182385 -2.264685 2453167.4492087 25.454435 3.290866 -11869.313862 4.8496 51.114718 3.177434 -11868.792772 4.749304 51.02105 3.179855 45.551306 31.475918 24.370384 7.932419 0.503882 0.003599 0.208652 0.004879 0.290369 0.006196 0 6.105644 47.087547 -0.008404 -11.9 20.9 2453167.4492 -25.677349 -25.677134 0.094 -9999999 0.00297 0.082112 0.856571 0.51812 0.981189 0.49 60.0033 45.546506 31.458559 2004-06-10T22:42:32.122 -9999999 K5 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_K0 3.25396340407915e-05 3.96403575053132e-06 0 0 0
GJ3769 198.182385 -2.264685 2453167.4502865 22.248319 2.566874 -11871.054405 3.889374 47.908263 2.419738 -11870.535341 3.763575 47.691046 2.421415 47.477181 19.321773 5.614152 5.252421 0.507035 0.002929 0.209123 0.003748 0.281818 0.004781 0 6.107002 47.021878 -0.003215 -11.9 26.1 2453167.45028 -25.680022 -25.679797 0.222 -9999999 0.00297 0.081773 0.85657 0.516094 0.981188 0.51 60.0013 47.46198 19.289047 2004-06-10T22:44:04.054 -9999999 K5 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_K0 2.48300862951183e-05 7.57032216849678e-07 0 0 0
GJ3769 198.182385 -2.264685 2453167.4513322 27.19061 2.814699 -11862.75525 4.292326 52.850226 2.681197 -11862.238151 4.178676 52.939892 2.682804 27.983482 23.553533 9.992212 6.2028 0.50523 0.003156 0.218038 0.004207 0.289792 0.00533 0 6.090801 47.062778 0.006271 -11.9 24.1 2453167.45133 -25.682623 -25.682436 0.099 -9999999 0.00297 0.081445 0.85657 0.514129 0.981187 0.5 60.0019 27.980499 23.531602 2004-06-10T22:45:35.004 -9999999 K5 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_K0 -9999999.0 -9999999.0 -9999999 -9999999 -9999999
