jd rv e_rv
10547.110035	6.8	1.4
10603.955845	8.6	1.4
10956.015625	15.1	1.5
10982.963634	13.1	1.4
11013.868657	16.3	1.5
11311.065486	16.6	1.6
11368.789491	18.7	1.5
11441.713877	23.0	1.4
11705.917836	30.3	1.5
12003.078183	30.4	2.3
12098.916539	37.1	1.5
12128.797813	34.7	1.7
12333.173299	38.1	1.6
12487.860197	35.5	1.6
12776.985463	29.9	1.6
12806.951852	19.5	1.6
12833.801030	27.3	1.4
12848.772037	25.3	1.5
12897.776562	26.5	1.5
13072.046921	18.9	1.6
13074.077766	21.2	1.4
13077.128090	20.5	1.4
13153.943171	15.2	1.6
13179.992454	20.6	1.5
13195.819190	17.5	1.4
13428.162502	10.09	0.78
13547.914433	11.44	0.80
13604.829999	6.08	0.78
13777.155347	7.5	1.5
13807.077257	2.4	1.4
13931.955714	1.33	0.72
13932.913019	1.98	0.70
